"id";"coordenador";"idIdentificacao";"tipoUtilizador"
124;0;p967;ProfessorNDEISI
125;0;a21805213;Aluno
126;0;"31";Empresa
127;0;a21703819;Aluno
128;0;a21700965;Aluno
129;0;a21702249;Aluno
130;0;a21600880;Aluno
131;0;a21703957;Aluno
132;0;a21703942;Aluno
133;0;a21702270;Aluno
134;0;a21705317;Aluno
135;0;a21705328;Aluno
136;0;a21703091;Aluno
137;0;a21702113;Aluno
138;0;a21704137;Aluno
139;0;a21703353;Aluno
140;0;a21703952;Aluno
141;0;a21702626;Aluno
142;0;a21702482;Aluno
143;0;a21705375;Aluno
144;0;a21705400;Aluno
145;0;a21703349;Aluno
146;0;a21703920;Aluno
147;0;a21705356;Aluno
148;0;a21701080;Aluno
149;0;a21705671;Aluno
150;0;a21703913;Aluno
151;0;"32";Empresa
152;0;a21703012;Aluno
153;0;a21803259;Aluno
154;0;a21704176;Aluno
155;0;"33";Empresa
156;0;a21703925;Aluno
157;0;a21705312;Aluno
158;0;a21705846;Aluno
159;0;a21802015;Aluno
160;0;a21702056;Aluno
161;0;a21702420;Aluno
162;0;a21603443;Aluno
163;0;"34";Empresa
164;0;"35";Empresa
165;0;"36";Empresa
166;0;"37";Empresa
167;0;"38";Empresa
168;0;a21701451;Aluno
169;0;a21803634;Aluno
170;0;a21703860;Aluno
171;0;a20060700;Aluno
172;0;a21804816;Aluno
173;0;a21804872;Aluno
174;0;a21700396;Aluno
175;0;a21705367;Aluno
176;0;p5653;ProfessorDEISI
177;0;a21702801;Aluno
178;0;a21703872;Aluno
179;0;a21702363;Aluno
180;0;a21704574;Aluno
181;0;a21703906;Aluno
182;0;a21704097;Aluno
183;0;a21703974;Aluno
184;0;a21702364;Aluno
185;0;p5932;ProfessorDEISI
186;0;pnd4;ProfessorNDEISI
187;0;p2199;ProfessorNDEISI
188;0;a21701497;Aluno
189;0;a21703806;Aluno
190;0;emp39;EmpEnt
191;0;a21701443;Aluno
192;0;a21804304;Aluno
193;0;emp40;EmpEnt
194;0;a21701870;Aluno
195;0;emp41;EmpEnt
196;0;a21705309;Aluno
197;0;emp42;EmpEnt
198;0;a21705399;Aluno
199;0;p2357;ProfessorDEISI
200;0;"43";Empresa
201;0;pnd5;ProfessorNDEISI
202;0;p5617;ProfessorDEISI
203;0;p5905;ProfessorDEISI
204;0;p5930;ProfessorDEISI
205;0;p5963;ProfessorDEISI
209;0;a21802650;Aluno
210;0;a21907960;Aluno
211;0;a21900128;Aluno
212;0;a21907739;Aluno
213;0;a21502753;Aluno
214;0;a21604285;Aluno
215;0;a21906059;Aluno
216;0;a21701951;Aluno
217;0;a20076288;Aluno
218;0;a21905954;Aluno
219;0;a21906966;Aluno
220;0;a21902919;Aluno
221;0;a21804689;Aluno
222;0;a21902453;Aluno
223;0;a21900780;Aluno
224;0;"44";Empresa
225;0;a21702996;Aluno
226;0;a21700555;Aluno
227;0;a21906563;Aluno
228;0;p6040;ProfessorDEISI
229;0;p6069;ProfessorDEISI
230;0;a21905661;Aluno
231;0;a21904221;Aluno
232;0;a21805820;Aluno
233;0;a21901521;Aluno
234;0;a21807061;Aluno
235;0;a21805485;Aluno
236;0;"45";Empresa
237;0;"46";Empresa
238;0;"47";Empresa
239;0;a21901796;Aluno
240;0;a21805549;Aluno
241;0;a21805522;Aluno
242;0;a21906962;Aluno
243;0;a21800043;Aluno
244;0;a21807838;Aluno
245;0;a21600035;Aluno
246;0;a21802411;Aluno
247;0;a21805632;Aluno
248;0;a21805817;Aluno
249;0;a21803731;Aluno
250;0;a21803499;Aluno
251;0;a21801685;Aluno
252;0;a21907847;Aluno
253;0;a21900126;Aluno
254;0;a21807154;Aluno
255;0;a21706025;Aluno
256;0;p6115;ProfessorDEISI
257;0;a21803482;Aluno
258;0;a21802287;Aluno
259;0;a21806225;Aluno
260;0;a21604343;Aluno
261;0;a21700874;Aluno
262;0;"48";Empresa
263;0;"49";Empresa
264;0;a21705067;Aluno
265;0;"50";Empresa
266;0;a21600767;Aluno
267;0;a21805677;Aluno
268;0;a21901470;Aluno
269;0;a21700054;Aluno
270;0;a21902703;Aluno
271;0;a21801945;Aluno
272;0;"51";Empresa
273;0;a21703781;Aluno
274;0;a21700547;Aluno
275;0;"52";Empresa
276;0;"53";Empresa
277;0;"54";Empresa
278;0;"55";Empresa
279;0;a21807232;Aluno
280;0;a21906634;Aluno
281;0;a21802381;Aluno
282;0;a21806250;Aluno
